,Testcase,Edge Applications used,Security,Redundancy,Method,# ES,# Switches,# Streams,# Receiver Tasks,# Tasks,Total cost,Routing cost,Scheduling cost,Normal application latency,Infeasible Apps,"Bandwidth use (Mean,%)","CPU use (Mean,%)",Optimization Time (ms),First feasible solution time (ms),Total Runtime (ms),Infeasible apps,Overlapping number,Stream with overlap,Avg. maximum unattested time,Avg. time spent attesting,Avg. worst case response time,Avg. avg response time,Avg. edge app latency,Tstart,alpha,Prmv,k,a,b,w
0,topo_size2,,True,True,CP_ROUTING_CP_SCHEDULING,16,10,3,5,12,26176,10,26166,26166,,0.001038961038961039,3.457625,1204,0,1280,0/6,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,topo_size3,,True,True,CP_ROUTING_CP_SCHEDULING,16,12,3,5,12,26169,12,26157,26157,,0.0008571428571428573,3.457625,1750,0,1828,0/6,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,topo_size4,,True,True,CP_ROUTING_CP_SCHEDULING,16,14,3,5,12,26154,9,26145,26145,,0.0005691056910569107,3.457625,3985,0,4080,0/6,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,topo_size0,,True,True,CP_ROUTING_CP_SCHEDULING,16,6,3,5,12,26168,10,26158,26158,,0.001531914893617021,3.457625,998,0,1038,0/6,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,topo_size1,,True,True,CP_ROUTING_CP_SCHEDULING,16,8,3,5,12,26166,10,26156,26156,,0.0012000000000000001,3.457625,1038,0,1116,0/6,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,topo_size2,,True,True,CP_ROUTING_CP_SCHEDULING,16,10,3,5,12,26176,10,26166,26166,,0.001038961038961039,3.457625,1211,0,1288,0/6,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,topo_size5,,True,True,CP_ROUTING_CP_SCHEDULING,16,16,3,5,12,26180,12,26168,26168,,0.0005526315789473684,3.457625,5995,0,6089,0/6,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,topo_size3,,True,True,CP_ROUTING_CP_SCHEDULING,16,12,3,5,12,26171,12,26159,26159,,0.0008571428571428574,3.457625,1868,0,1956,0/6,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,topo_size6,,True,True,CP_ROUTING_CP_SCHEDULING,16,18,3,5,12,26183,13,26170,26170,,0.0005135135135135136,3.457625,5652,0,5745,0/6,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,topo_size7,,True,True,CP_ROUTING_CP_SCHEDULING,16,20,3,5,12,26155,10,26145,26145,,0.0003243243243243244,3.457625,7765,0,7860,0/6,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
