,Testcase,Edge Applications used,Security,Redundancy,Method,# ES,# Switches,# Streams,# Receiver Tasks,# Tasks,Total cost,Routing cost,Scheduling cost,Normal application latency,Infeasible Apps,"Bandwidth use (Mean,%)","CPU use (Mean,%)",Optimization Time (ms),First feasible solution time (ms),Total Runtime (ms),Infeasible apps,Overlapping number,Stream with overlap,Avg. maximum unattested time,Avg. time spent attesting,Avg. worst case response time,Avg. avg response time,Avg. edge app latency,Tstart,alpha,Prmv,k,a,b,w
0,topo_size_plus_apps7,,True,True,CP_ROUTING_CP_SCHEDULING,16,20,16,31,64,260579,74,260505,260505,,0.0008333333333333337,19.65225,11179336,0,11179443,0/32,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,topo_size_plus_apps9,,True,True,CP_ROUTING_CP_SCHEDULING,16,24,20,37,80,362254,91,362163,362163,,0.0007386363636363634,26.656937499999998,11208505,0,11208596,0/40,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,topo_size_plus_apps6,,True,True,CP_ROUTING_CP_SCHEDULING,16,18,14,27,56,249483,57,249426,249426,,0.0007702702702702706,19.199437500000002,11332173,0,11332281,0/28,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,topo_size_plus_apps6,,True,True,CP_ROUTING_CP_SCHEDULING,16,18,14,27,56,470944,57,470887,470887,,0.0007702702702702702,19.199437500000002,12780790,0,12780888,0/28,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,topo_size_plus_apps5,,True,True,CP_ROUTING_CP_SCHEDULING,16,16,12,23,48,197781,47,197734,197734,,0.0007730263157894736,13.603625,13052142,0,13052245,0/24,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,topo_size_plus_apps5,,True,True,CP_ROUTING_CP_SCHEDULING,16,16,12,23,48,197791,47,197744,197744,,0.0007730263157894738,13.603625,13134879,0,13134959,0/24,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,topo_size_plus_apps7,,True,True,CP_ROUTING_CP_SCHEDULING,16,20,16,31,64,260582,77,260505,260505,,0.0008671171171171174,19.65225,13498724,0,13498820,0/32,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,topo_size_plus_apps5,,True,True,CP_ROUTING_CP_SCHEDULING,16,16,12,23,48,197776,47,197729,197729,,0.0007730263157894734,13.603625,13836237,0,13836314,0/24,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,topo_size_plus_apps0,,True,True,CP_ROUTING_CP_SCHEDULING,16,6,1,1,8,29908,2,29906,29906,,0.00010638297872340427,1.8685,398,0,487,0/6,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,topo_size_plus_apps1,,True,True,CP_ROUTING_CP_SCHEDULING,16,8,3,3,16,88843,8,88835,88835,,0.0003333333333333334,5.5496875,846,0,957,0/12,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,topo_size_plus_apps0,,True,True,CP_ROUTING_CP_SCHEDULING,16,6,1,1,8,29908,2,29906,29906,,0.00010638297872340427,1.8685,388,0,442,0/6,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,topo_size_plus_apps2,,True,True,CP_ROUTING_CP_SCHEDULING,16,10,5,5,24,103910,12,103898,103898,,0.00038961038961038966,6.489874999999999,1988,0,2098,0/18,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,topo_size_plus_apps1,,True,True,CP_ROUTING_CP_SCHEDULING,16,8,3,3,16,88843,8,88835,88835,,0.0003333333333333334,5.5496875,1057,0,1156,0/12,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,topo_size_plus_apps0,,True,True,CP_ROUTING_CP_SCHEDULING,16,6,1,1,8,29908,2,29906,29906,,0.00010638297872340427,1.8685,417,0,462,0/6,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,topo_size_plus_apps1,,True,True,CP_ROUTING_CP_SCHEDULING,16,8,3,3,16,88843,8,88835,88835,,0.0003333333333333334,5.5496875,1087,0,1200,0/12,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,topo_size_plus_apps2,,True,True,CP_ROUTING_CP_SCHEDULING,16,10,5,5,24,103910,12,103898,103898,,0.00038961038961038977,6.489874999999999,1794,0,1875,0/18,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,topo_size_plus_apps2,,True,True,CP_ROUTING_CP_SCHEDULING,16,10,5,5,24,103910,12,103898,103898,,0.00038961038961038966,6.489874999999999,6593,0,6716,0/18,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,topo_size_plus_apps0,,True,True,CP_ROUTING_CP_SCHEDULING,16,6,1,1,8,29908,2,29906,29906,,0.00010638297872340427,1.8685,385,0,436,0/6,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,topo_size_plus_apps3,,True,True,CP_ROUTING_CP_SCHEDULING,16,12,7,7,32,142759,15,142744,142744,,0.00038265306122448994,8.9168125,5116,0,5244,0/24,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,topo_size_plus_apps1,,True,True,CP_ROUTING_CP_SCHEDULING,16,8,3,3,16,88843,8,88835,88835,,0.0003333333333333334,5.5496875,1101,0,1197,0/12,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,topo_size_plus_apps3,,True,True,CP_ROUTING_CP_SCHEDULING,16,12,7,7,32,142759,15,142744,142744,,0.0003826530612244899,8.9168125,12304,0,12413,0/24,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,topo_size_plus_apps2,,True,True,CP_ROUTING_CP_SCHEDULING,16,10,5,5,24,103910,12,103898,103898,,0.00038961038961038977,6.489874999999999,2426,0,2534,0/18,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,topo_size_plus_apps0,,True,True,CP_ROUTING_CP_SCHEDULING,16,6,1,1,8,29908,2,29906,29906,,0.00010638297872340427,1.8685,389,0,438,0/6,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,topo_size_plus_apps1,,True,True,CP_ROUTING_CP_SCHEDULING,16,8,3,3,16,88843,8,88835,88835,,0.0003333333333333334,5.5496875,1135,0,1240,0/12,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,topo_size_plus_apps2,,True,True,CP_ROUTING_CP_SCHEDULING,16,10,5,5,24,103910,12,103898,103898,,0.00038961038961038977,6.489874999999999,2426,0,2537,0/18,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,topo_size_plus_apps3,,True,True,CP_ROUTING_CP_SCHEDULING,16,12,7,7,32,142759,15,142744,142744,,0.00038265306122448994,8.9168125,4140,0,4312,0/24,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,topo_size_plus_apps3,,True,True,CP_ROUTING_CP_SCHEDULING,16,12,7,7,32,142759,15,142744,142744,,0.0003826530612244899,8.9168125,11277,0,11388,0/24,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,topo_size_plus_apps3,,True,True,CP_ROUTING_CP_SCHEDULING,16,12,7,7,32,142759,15,142744,142744,,0.00038265306122448994,8.9168125,50528,0,50618,0/24,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,topo_size_plus_apps5,,True,True,CP_ROUTING_CP_SCHEDULING,16,16,11,11,48,245101,31,245070,245070,,0.0005098684210526314,15.3071875,90466,0,90691,0/36,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,topo_size_plus_apps5,,True,True,CP_ROUTING_CP_SCHEDULING,16,16,11,11,48,245101,31,245070,245070,,0.0005098684210526314,15.3071875,516427,0,516521,0/36,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,topo_size_plus_apps5,,True,True,CP_ROUTING_CP_SCHEDULING,16,16,11,11,48,245101,31,245070,245070,,0.0005098684210526315,15.3071875,1260025,0,1260155,0/36,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,topo_size_plus_apps5,,True,True,CP_ROUTING_CP_SCHEDULING,16,16,11,11,48,245101,31,245070,245070,,0.0005098684210526314,15.3071875,1930337,0,1930449,0/36,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,topo_size_plus_apps7,,True,True,CP_ROUTING_CP_SCHEDULING,16,20,15,15,64,320545,44,320501,320501,,0.0004954954954954954,20.0175625,2832811,0,2832932,0/48,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
