,Testcase,Security,Redundancy,Method,# ES,# Switches,# Streams,# Receiver Tasks,# Tasks,Total cost,Routing cost,Scheduling cost,Normal application latency,Infeasible Apps,"Bandwidth use (Mean,%)","CPU use (Mean,%)",Optimization Time (ms),First feasible solution time (ms),Total Runtime (ms),Infeasible apps,Overlapping number,Stream with overlap,Tstart,alpha,Prmv,k,a,b
0,medium3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,36,53,47,326863,300098,26765,26657,,0.01,6.09,580985,0,581027,0/13,6,5,100000000,0.999999,0.1,5,50000,10000
0,medium3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,36,53,47,126512,100107,26405,26294,,0.01,6.09,581045,0,581079,0/13,2,2,1,0.999,0.5,30,50000,10000
0,medium3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,36,53,47,126518,100115,26403,26294,,0.02,6.09,580464,0,580501,0/13,2,2,1,0.9999,0.7,20,50000,10000
0,medium3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,36,53,47,330462,300097,30365,30257,,0.01,6.09,580754,0,580788,0/13,6,5,100000000,0.999999,0.6,30,50000,10000
0,medium3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,36,53,47,126867,100129,26738,26624,,0.02,6.09,580447,0,580484,0/13,2,2,1000,0.99999,0.1,15,50000,10000
0,medium3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,36,53,47,26539,123,26416,26303,,0.02,6.09,580515,0,580551,0/13,0,0,10,0.9999,0.4,15,50000,10000
0,medium3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,36,53,47,226512,200108,26404,26294,,0.01,6.09,580733,0,580772,0/13,4,3,100000,0.999,0.1,5,50000,10000
0,medium3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,36,53,47,327384,300102,27282,27172,,0.01,6.09,580836,0,580873,0/13,6,5,100000,0.9999,0.2,20,50000,10000
0,medium3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,36,53,47,127936,100128,27808,27701,,0.02,6.09,580810,0,580854,0/13,2,2,100000,0.999,0.2,15,50000,10000
0,medium3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,36,53,47,126495,100100,26395,26290,,0.01,6.09,580659,0,580695,0/13,2,2,10,0.99,0.2,15,50000,10000
0,medium3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,36,53,47,126502,100100,26402,26293,,0.01,6.09,580884,0,580922,0/13,2,2,10,0.99,0.5,15,50000,10000
0,medium3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,36,53,47,326813,300097,26716,26608,,0.01,6.09,580346,0,580385,0/13,6,5,100000000,0.999999,0.1,5,50000,10000
0,medium3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,36,53,47,126507,100101,26406,26298,,0.01,6.09,580680,0,580719,0/13,2,2,10,0.99,0.5,15,50000,10000
0,medium3,True,True,CP_ROUTING_CP_SCHEDULING,16,8,36,53,47,15549,87,15462,15376,,0.01,6.09,3678959,0,3679002,0/13,0,0,10,0.999,0.8,5,50000,10000
0,medium3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,36,53,47,26868,132,26736,26623,,0.02,6.09,580829,0,580872,0/13,0,0,1000000,0.99,0.5,15,50000,10000
0,medium3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,36,53,47,226564,200133,26431,26318,,0.02,6.09,581048,0,581091,0/13,4,2,1000000,0.99,0.5,15,50000,10000
0,medium3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,36,53,47,326502,300095,26407,26299,,0.01,6.09,580575,0,580610,0/13,6,5,100000000,0.999999,0.1,5,50000,10000
0,medium3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,36,53,47,126540,100127,26413,26301,,0.02,6.09,580641,0,580682,0/13,2,2,1000000,0.99,0.5,15,50000,10000
0,medium3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,36,53,47,227885,200097,27788,27679,,0.01,6.09,580946,0,580983,0/13,4,3,1000000,0.999999,0.5,15,50000,10000
0,medium3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,36,53,47,226816,200100,26716,26608,,0.01,6.09,580916,0,580956,0/13,4,3,1000000,0.999999,0.5,15,50000,10000
0,medium3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,36,53,47,327446,300098,27348,27240,,0.01,6.09,580714,0,580752,0/13,6,5,1000000,0.999999,0.5,15,50000,10000
0,medium3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,36,53,47,326863,300096,26767,26658,,0.01,6.09,581023,0,581068,0/13,6,5,100000000,0.999999,0.1,5,50000,10000
0,medium3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,36,53,47,226925,200118,26807,26696,,0.02,6.09,580863,0,580901,0/13,4,2,1000000,0.999999,0.5,15,50000,10000
0,medium3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,36,53,47,326504,300097,26407,26299,,0.01,6.09,580739,0,580778,0/13,6,5,1000000,0.999999,0.3,15,50000,10000
0,medium3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,36,53,47,327136,300097,27039,26931,,0.01,6.09,581006,0,581043,0/13,6,5,1000000,0.999999,0.3,15,50000,10000
0,medium3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,36,53,47,326871,300106,26765,26657,,0.02,6.09,580694,0,580734,0/13,6,5,1000000,0.999999,0.3,15,50000,10000
0,medium3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,36,53,47,328298,300095,28203,28095,,0.01,6.09,580937,0,580975,0/13,6,5,1000000,0.999999,0.3,15,50000,10000
0,medium3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,36,53,47,326497,300096,26401,26293,,0.01,6.09,580807,0,580848,0/13,6,5,100000000,0.999999,0.1,5,50000,10000
0,medium3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,36,53,47,226508,200103,26405,26294,,0.01,6.09,580542,0,580580,0/13,4,3,1000000,0.999999,0.3,15,50000,10000
0,medium3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,36,53,47,126497,100099,26398,26292,,0.01,6.09,580601,0,580640,0/13,2,2,1000000,0.8,0.3,15,50000,10000
0,medium3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,36,53,47,126501,100099,26402,26293,,0.01,6.09,580742,0,580780,0/13,2,2,1000000,0.8,0.3,15,50000,10000
0,medium3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,36,53,47,26495,100,26395,26290,,0.01,6.09,580561,0,580601,0/13,0,0,1000000,0.8,0.3,15,50000,10000
0,medium3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,36,53,47,26806,96,26710,26605,,0.01,6.09,580472,0,580509,0/13,0,0,1000000,0.8,0.3,15,50000,10000
0,medium3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,36,53,47,126497,100100,26397,26291,,0.01,6.09,581013,0,581053,0/13,2,2,1000000,0.8,0.3,15,50000,10000
0,medium3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,36,53,47,227135,200101,27034,26925,,0.01,6.09,580468,0,580507,0/13,4,3,100000000,0.999999,0.1,5,50000,10000
0,medium3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,36,53,47,26500,98,26402,26293,,0.01,6.09,580646,0,580682,0/13,0,0,1000000,0.8,0.3,15,50000,10000
0,medium3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,36,53,47,26863,96,26767,26658,,0.01,6.09,580579,0,580618,0/13,0,0,1000000,0.8,0.9,15,50000,10000
0,medium3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,36,53,47,26493,93,26400,26292,,0.01,6.09,580541,0,580579,0/13,0,0,1000000,0.8,0.9,15,50000,10000
0,medium3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,36,53,47,26498,96,26402,26293,,0.01,6.09,580834,0,580872,0/13,0,0,1000000,0.8,0.9,15,50000,10000
0,medium3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,36,53,47,26498,96,26402,26293,,0.01,6.09,580886,0,580924,0/13,0,0,1000000,0.8,0.9,15,50000,10000
0,medium3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,36,53,47,26496,99,26397,26291,,0.01,6.09,580393,0,580432,0/13,0,0,1000000,0.8,0.9,15,50000,10000
0,medium3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,36,53,47,26492,95,26397,26291,,0.01,6.09,580971,0,581008,0/13,0,0,1000000,0.8,0.9,15,50000,10000
0,medium3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,36,53,47,326861,300096,26765,26657,,0.01,6.09,580397,0,580437,0/13,6,5,100000000,0.999999,0.1,5,50000,10000
0,medium3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,36,53,47,26494,94,26400,26292,,0.01,6.09,580667,0,580704,0/13,0,0,1000000,0.8,0.9,15,50000,10000
0,medium3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,36,53,47,126503,100101,26402,26293,,0.01,6.09,580986,0,581027,0/13,2,2,1000000,0.9,0.9,15,50000,10000
0,medium3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,36,53,47,126501,100099,26402,26293,,0.01,6.09,580548,0,580585,0/13,2,2,1000000,0.9,0.9,15,50000,10000
0,medium3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,36,53,47,126499,100099,26400,26292,,0.01,6.09,580556,0,580594,0/13,2,2,1000000,0.9,0.9,15,50000,10000
0,medium3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,36,53,47,26499,97,26402,26293,,0.01,6.09,580802,0,580839,0/13,0,0,1000000,0.9,0.9,15,50000,10000
0,medium3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,36,53,47,26514,101,26413,26301,,0.01,6.09,580464,0,580504,0/13,0,0,1000000,0.9,0.9,15,50000,10000
0,medium3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,36,53,47,126813,100097,26716,26608,,0.01,6.09,580683,0,580721,0/13,2,2,1000000,0.9,0.9,15,50000,10000
0,medium3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,36,53,47,26505,96,26409,26301,,0.01,6.09,580599,0,580638,0/13,0,0,1000000,0.9,0.9,15,50000,10000
0,medium3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,36,53,47,326811,300095,26716,26608,,0.01,6.09,580364,0,580402,0/13,6,5,100000000,0.999999,0.1,5,50000,10000
0,medium3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,36,53,47,26810,98,26712,26606,,0.01,6.09,580652,0,580692,0/13,0,0,1000000,0.9,0.9,15,50000,10000
0,medium3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,36,53,47,126493,100093,26400,26292,,0.01,6.09,580843,0,580880,0/13,2,2,1,0.9,0.9,15,50000,10000
0,medium3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,36,53,47,26487,92,26395,26290,,0.01,6.09,580641,0,580679,0/13,0,0,1,0.9,0.9,15,50000,10000
0,medium3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,36,53,47,26486,91,26395,26290,,0.01,6.09,580872,0,580909,0/13,0,0,1,0.9,0.9,15,50000,10000
0,medium3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,36,53,47,26803,93,26710,26605,,0.01,6.09,580679,0,580716,0/13,0,0,1,0.9,0.9,15,50000,10000
0,medium3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,36,53,47,26492,92,26400,26292,,0.01,6.09,580776,0,580814,0/13,0,0,1,0.9,0.9,15,50000,10000
0,medium3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,36,53,47,26487,92,26395,26290,,0.01,6.09,580592,0,580632,0/13,0,0,1,0.9,0.9,15,50000,10000
0,medium3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,36,53,47,26491,96,26395,26290,,0.01,6.09,580467,0,580505,0/13,0,0,1,0.9,0.9,15,50000,10000
0,medium3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,36,53,47,26493,96,26397,26291,,0.01,6.09,580388,0,580426,0/13,0,0,1000000,0.9,0.9,15,50000,10000
0,medium3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,36,53,47,26813,97,26716,26608,,0.01,6.09,580611,0,580649,0/13,0,0,1000000,0.9,0.9,15,50000,10000
0,medium3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,36,53,47,26507,100,26407,26295,,0.01378496507936508,6.086666666666668,580522,0,580562,0/13,0,0,10000,0.999999,0.1,5,50000,10000,5
0,medium3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,36,53,47,26820,104,26716,26608,,0.014480990476190477,6.086666666666668,580545,0,580580,0/13,0,0,10000,0.9,0.9,30,50000,10000,10
