,Testcase,Security,Redundancy,Method,# ES,# Switches,# Streams,# Receiver Tasks,# Tasks,Total cost,Routing cost,Scheduling cost,Normal application latency,Infeasible Apps,"Bandwidth use (Mean,%)","CPU use (Mean,%)",Optimization Time (ms),First feasible solution time (ms),Total Runtime (ms),Infeasible apps,Overlapping number,Stream with overlap,Tstart,alpha,Prmv,k,a,b
0,large2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,32,16,37,77,72,1142352,1100161,42191,42076,,0.01,4.46,1781474,0,1781527,0/22,22,10,100000000,0.999999,0.1,5,50000,10000
0,large2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,32,16,37,77,72,241085,200154,40931,40814,,0.01,4.46,1781513,0,1781560,0/22,4,2,1,0.999,0.5,30,50000,10000
0,large2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,32,16,37,77,72,41116,173,40943,40826,,0.01,4.46,1781282,0,1781330,0/22,0,0,1,0.9999,0.7,20,50000,10000
0,large2,True,True,CP_ROUTING_CP_SCHEDULING,32,16,37,77,72,25068,191,24877,24778,,0.01,4.46,1071614,0,1071673,0/22,0,0,10,0.999,0.8,5,50000,10000
0,large2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,32,16,37,77,72,1143645,1100172,43473,43355,,0.01,4.46,1781178,0,1781227,0/22,22,8,100000000,0.999999,0.6,30,50000,10000
0,large2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,32,16,37,77,72,841277,800185,41092,40972,,0.01,4.46,1781006,0,1781055,0/22,16,6,1000,0.99999,0.1,15,50000,10000
0,large2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,32,16,37,77,72,41141,195,40946,40829,,0.01,4.46,1781677,0,1781728,0/22,0,0,10,0.9999,0.4,15,50000,10000
0,large2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,32,16,37,77,72,1241694,1200173,41521,41403,,0.01,4.46,1780793,0,1780839,0/22,24,8,100000,0.999,0.1,5,50000,10000
0,large2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,32,16,37,77,72,642799,600206,42593,42463,,0.01,4.46,1781448,0,1781498,0/22,12,8,100000,0.9999,0.2,20,50000,10000
0,large2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,32,16,37,77,72,543417,500211,43206,43085,,0.01,4.46,1781438,0,1781487,0/22,10,6,100000,0.999,0.2,15,50000,10000
0,large2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,32,16,37,77,72,441089,400153,40936,40819,,0.01,4.46,1781031,0,1781072,0/22,8,5,10,0.99,0.2,15,50000,10000
0,large2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,32,16,37,77,72,141089,100148,40941,40825,,0.01,4.46,1781103,0,1781147,0/22,2,2,10,0.99,0.5,15,50000,10000
0,large2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,32,16,37,77,72,1341405,1300158,41247,41130,,0.01,4.46,1780720,0,1780766,0/22,26,10,100000000,0.999999,0.1,5,50000,10000
0,large2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,32,16,37,77,72,141096,100150,40946,40830,,0.01,4.46,1781441,0,1781486,0/22,2,2,10,0.99,0.5,15,50000,10000
0,large2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,32,16,37,77,72,241158,200191,40967,40846,,0.01,4.46,1781254,0,1781302,0/22,4,2,1000000,0.99,0.5,15,50000,10000
0,large2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,32,16,37,77,72,241135,200188,40947,40828,,0.01,4.46,1780690,0,1780738,0/22,4,4,1000000,0.99,0.5,15,50000,10000
0,large2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,32,16,37,77,72,1442255,1400145,42110,41994,,0.01,4.46,1780779,0,1780823,0/22,28,10,100000000,0.999999,0.1,5,50000,10000
0,large2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,32,16,37,77,72,41156,189,40967,40846,,0.01,4.46,1780763,0,1780807,0/22,0,0,1000000,0.99,0.5,15,50000,10000
0,large2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,32,16,37,77,72,647053,600181,46872,46756,,0.01,4.46,1781764,0,1781813,0/22,12,8,1000000,0.999999,0.5,15,50000,10000
0,large2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,32,16,37,77,72,1144485,1100212,44273,44150,,0.01,4.46,1781751,0,1781801,0/22,22,10,1000000,0.999999,0.5,15,50000,10000
0,large2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,32,16,37,77,72,1044454,1000216,44238,44106,,0.01,4.46,1781403,0,1781453,0/22,20,10,1000000,0.999999,0.5,15,50000,10000
0,large2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,32,16,37,77,72,1341432,1300175,41257,41140,,0.01,4.46,1781571,0,1781677,0/22,26,13,100000000,0.999999,0.1,5,50000,10000
0,large2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,32,16,37,77,72,846849,800216,46633,46510,,0.01,4.46,1780856,0,1780911,0/22,16,10,1000000,0.999999,0.5,15,50000,10000
0,large2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,32,16,37,77,72,946321,900192,46129,46009,,0.01,4.46,1780711,0,1780765,0/22,18,11,1000000,0.999999,0.3,15,50000,10000
0,large2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,32,16,37,77,72,1045277,1000193,45084,44967,,0.01,4.46,1781454,0,1781506,0/22,20,8,1000000,0.999999,0.3,15,50000,10000
0,large2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,32,16,37,77,72,944074,900166,43908,43788,,0.01,4.46,1781154,0,1781203,0/22,18,9,1000000,0.999999,0.3,15,50000,10000
0,large2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,32,16,37,77,72,943166,900185,42981,42860,,0.01,4.46,1781294,0,1781348,0/22,18,10,1000000,0.999999,0.3,15,50000,10000
0,large2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,32,16,37,77,72,1344546,1300160,44386,44270,,0.01,4.46,1781578,0,1781631,0/22,26,12,100000000,0.999999,0.1,5,50000,10000
0,large2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,32,16,37,77,72,1241381,1200211,41170,41040,,0.01,4.46,1780895,0,1780949,0/22,24,8,1000000,0.999999,0.3,15,50000,10000
0,large2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,32,16,37,77,72,341094,300151,40943,40826,,0.01,4.46,1780947,0,1780998,0/22,6,5,1000000,0.8,0.3,15,50000,10000
0,large2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,32,16,37,77,72,141086,100142,40944,40829,,0.00,4.46,1781515,0,1781565,0/22,2,2,1000000,0.8,0.3,15,50000,10000
0,large2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,32,16,37,77,72,141089,100145,40944,40829,,0.01,4.46,1781024,0,1781076,0/22,2,2,1000000,0.8,0.3,15,50000,10000
0,large2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,32,16,37,77,72,141084,100145,40939,40824,,0.01,4.46,1781297,1,1781347,0/22,2,2,1000000,0.8,0.3,15,50000,10000
0,large2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,32,16,37,77,72,341091,300143,40948,40831,,0.005117802130898021,4.457479166666667,1780742,1,1780791,0/22,6,5,1000000,0.8,0.3,15,50000,10000
0,large2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,32,16,37,77,72,941787,900154,41633,41517,,0.005346124809741248,4.457479166666667,1781410,1,1781461,0/22,18,8,100000000,0.999999,0.1,5,50000,10000
0,large2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,32,16,37,77,72,241087,200144,40943,40826,,0.005118459665144596,4.457479166666667,1780842,1,1780892,0/22,4,4,1000000,0.8,0.3,15,50000,10000
0,large2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,32,16,37,77,72,141065,100134,40931,40814,,0.004898197869101979,4.457479166666667,1780729,1,1780777,0/22,2,2,1000000,0.8,0.9,15,50000,10000
0,large2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,32,16,37,77,72,41071,138,40933,40815,,0.004737479452054794,4.457479166666667,1781187,1,1781240,0/22,0,0,1000000,0.8,0.9,15,50000,10000
