,Testcase,Security,Redundancy,Method,# ES,# Switches,# Streams,# Receiver Tasks,# Tasks,Total cost,Routing cost,Scheduling cost,Normal application latency,Infeasible Apps,"Bandwidth use (Mean,%)","CPU use (Mean,%)",Optimization Time (ms),First feasible solution time (ms),Total Runtime (ms),Infeasible apps,Overlapping number,Stream with overlap,Tstart,alpha,Prmv,k,a,b
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19458,81,19377,19251,,0.02,4.69,580371,0,580397,0/12,0,0,1000000,0.8,0.3,15,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,20147,77,20070,19944,,0.02,4.69,580468,0,580496,0/12,0,0,1000000,0.8,0.3,15,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19476,80,19396,19271,,0.02,4.69,580604,0,580631,0/12,0,0,1000000,0.8,0.3,15,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19460,83,19377,19251,,0.02,4.69,580573,0,580604,0/12,0,0,1000000,0.8,0.3,15,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,20221,77,20144,20018,,0.02,4.69,580318,0,580343,0/12,0,0,100000000,0.999999,0.1,5,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19461,84,19377,19251,,0.02,4.69,580302,0,580340,0/12,0,0,1000000,0.8,0.3,15,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19461,82,19379,19253,,0.02,4.69,580440,0,580469,0/12,0,0,1000000,0.8,0.9,15,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19458,81,19377,19251,,0.02,4.69,580462,0,580490,0/12,0,0,1000000,0.8,0.9,15,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19480,84,19396,19271,,0.02,4.69,580475,0,580503,0/12,0,0,1000000,0.8,0.9,15,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19460,83,19377,19251,,0.02,4.69,580631,0,580658,0/12,0,0,1000000,0.8,0.9,15,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19478,82,19396,19271,,0.02,4.69,580348,0,580376,0/12,0,0,1000000,0.8,0.9,15,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19459,83,19376,19251,,0.02,4.69,580521,0,580549,0/12,0,0,1000000,0.8,0.9,15,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,20471,77,20394,20268,,0.02,4.69,580501,0,580528,0/12,0,0,100000000,0.999999,0.1,5,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19457,79,19378,19253,,0.02,4.69,580673,0,580699,0/12,0,0,1000000,0.8,0.9,15,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,21057,77,20980,20854,,0.02,4.69,580494,0,580521,0/12,0,0,1000000,0.9,0.9,15,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19480,84,19396,19271,,0.02,4.69,580498,0,580525,0/12,0,0,1000000,0.9,0.9,15,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19482,83,19399,19273,,0.02,4.69,580365,0,580397,0/12,0,0,1000000,0.9,0.9,15,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19465,86,19379,19253,,0.02,4.69,580562,0,580589,0/12,0,0,1000000,0.9,0.9,15,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19481,85,19396,19271,,0.02,4.69,580452,0,580484,0/12,0,0,1000000,0.9,0.9,15,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19459,82,19377,19251,,0.02,4.69,580525,0,580551,0/12,0,0,1000000,0.9,0.9,15,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19462,83,19379,19253,,0.02,4.69,580566,0,580593,0/12,0,0,1000000,0.9,0.9,15,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,20059,80,19979,19851,,0.02,4.69,580635,0,580661,0/12,0,0,100000000,0.999999,0.1,5,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19463,86,19377,19251,,0.02,4.69,580557,0,580585,0/12,0,0,1000000,0.9,0.9,15,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19455,76,19379,19253,,0.02,4.69,580619,0,580645,0/12,0,0,1,0.9,0.9,15,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19455,77,19378,19253,,0.02,4.69,580478,0,580506,0/12,0,0,1,0.9,0.9,15,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19455,76,19379,19253,,0.02,4.69,580468,0,580494,0/12,0,0,1,0.9,0.9,15,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19456,77,19379,19253,,0.02,4.69,580444,0,580471,0/12,0,0,1,0.9,0.9,15,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19473,77,19396,19271,,0.02,4.69,580495,0,580521,0/12,0,0,1,0.9,0.9,15,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19455,79,19376,19251,,0.02,4.69,580533,0,580564,0/12,0,0,1,0.9,0.9,15,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19458,80,19378,19253,,0.02,4.69,580551,0,580578,0/12,0,0,1,0.9,0.9,15,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19484,88,19396,19271,,0.02,4.69,580486,0,580514,0/12,0,0,1000000,0.9,0.9,15,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19458,79,19379,19253,,0.02,4.69,580358,0,580389,0/12,0,0,1000000,0.9,0.9,15,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19745,85,19660,19534,,0.018699874213836478,4.690208333333333,580231,0,580266,0/12,0,0,10000,0.999999,0.1,5,50000,10000,5
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19483,84,19399,19273,,0.018790943396226414,4.690208333333333,580571,0,580600,0/12,0,0,10000,0.9,0.9,30,50000,10000,10
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19488,92,19396,19271,,0.02022515723270441,4.690208333333333,580268,0,580298,0/12,0,0,1,0.9999,0.5,10,50000,10000,1000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19475,79,19396,19271,,0.016949811320754717,4.690208333333333,580363,0,580393,0/12,0,0,1,0.8,0.5,30,50000,10000,1000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19462,85,19377,19251,,0.01903257861635221,4.690208333333333,580082,0,580114,0/12,0,0,10,0.999999,0.9,5,50000,10000,5
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19739,79,19660,19534,,0.017506289308176097,4.690208333333333,580400,0,580428,0/12,0,0,10000,0.9999,0.1,15,50000,10000,10
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19493,94,19399,19273,,0.020826792452830197,4.690208333333333,580467,0,580495,0/12,0,0,10000,0.99,0.7,15,50000,10000,10
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19473,77,19396,19271,,0.01657044025157233,4.690208333333333,580188,0,580213,0/12,0,0,1,0.9,0.7,5,50000,10000,5
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19472,93,19379,19253,,0.020315220125786168,4.690208333333333,580467,0,580497,0/12,0,0,1,0.9999,0.7,20,50000,10000,10
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19457,80,19377,19251,,0.016642893081761003,4.690208333333333,580376,0,580402,0/12,0,0,1,0.9,0.5,30,50000,10000,5
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19508,108,19400,19269,,0.02204830188679245,4.690208333333333,580582,0,580613,0/12,0,0,10000,0.9999,0.1,30,50000,10000,10
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19742,82,19660,19534,,0.018162264150943398,4.690208333333333,580521,0,580546,0/12,0,0,1,0.9999,0.1,30,50000,10000,10
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19697,93,19604,19475,,0.020936226415094347,4.690208333333333,580231,0,580265,0/12,0,0,10000,0.999999,0.1,5,50000,10000,5
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19480,81,19399,19273,,0.017609308176100624,4.690208333333333,580612,0,580637,0/12,0,0,1,0.9999,0.1,30,50000,10000,10
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19481,82,19399,19273,,0.01769245283018868,4.690208333333333,580590,0,580619,0/12,0,0,1,0.99,0.1,30,50000,10000,10
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19458,79,19379,19253,,0.016618742138364787,4.690208333333333,580503,0,580530,0/12,0,0,1,0.99,0.1,30,50000,10000,10
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19501,93,19408,19279,,0.019573836477987418,4.690208333333333,580096,0,580129,0/12,0,0,10000,0.999999,0.1,5,50000,10000,5
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19737,77,19660,19534,,0.016570440251572324,4.690208333333333,580369,0,580395,0/12,0,0,1,0.99,0.1,30,50000,10000,10
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19741,81,19660,19534,,0.017146666666666668,4.690208333333333,580391,0,580423,0/12,0,0,1,0.99,0.1,30,50000,10000,1000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19476,80,19396,19271,,0.01692389937106918,4.690208333333333,580697,0,580722,0/12,0,0,1,0.99,0.1,30,50000,10000,1000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19477,78,19399,19273,,0.01688251572327044,4.690208333333333,580598,0,580626,0/12,0,0,1,0.99,0.1,30,50000,10000,1000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19466,89,19377,19251,,0.01945886792452831,4.690208333333333,580230,0,580256,0/12,0,0,10000,0.999999,0.1,5,50000,10000,5
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19462,81,19381,19253,,0.01765345911949686,4.690208333333333,580589,0,580618,0/12,0,0,1,0.99,0.1,30,50000,10000,1000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19455,77,19378,19253,,0.016570440251572324,4.690208333333333,580135,0,580161,0/12,0,0,1,0.99,0.1,10,50000,10000,1000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19737,77,19660,19534,,0.016570440251572324,4.690208333333333,580164,0,580191,0/12,0,0,1,0.99,0.1,10,50000,10000,1000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19460,79,19381,19253,,0.016618742138364784,4.690208333333333,580260,0,580286,0/12,0,0,1,0.99,0.1,10,50000,10000,1000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19458,81,19377,19251,,0.01728603773584906,4.690208333333333,580418,0,580445,0/12,0,0,1,0.99,0.1,10,50000,10000,1000
