,Testcase,Edge Applications used,Security,Redundancy,Method,# ES,# Switches,# Streams,# Receiver Tasks,# Tasks,Total cost,Routing cost,Scheduling cost,Normal application latency,Infeasible Apps,"Bandwidth use (Mean,%)","CPU use (Mean,%)",Optimization Time (ms),First feasible solution time (ms),Total Runtime (ms),Infeasible apps,Overlapping number,Stream with overlap,Avg. maximum unattested time,Avg. time spent attesting,Avg. worst case response time,Avg. avg response time,Avg. edge app latency,Tstart,alpha,Prmv,k,a,b,w
0,RA_example,,True,True,CP_ROUTING_CP_SCHEDULING,10,5,8,8,27,4668,24,4644,4644,,0.44999999999999996,37.5,6655,0,6673,0/19,0,0,425.00,852.00,350.00,66420.83,-1.00,10,0.999,0.8,5,50000,100000,10
0,RA_example,,True,True,CP_ROUTING_CP_SCHEDULING_EXT,10,5,8,8,27,5132,24,5108,5108,,0.44999999999999996,37.5,1801334,0,1801354,0/19,0,0,150.00,578.00,233.33,45116.67,-1.00,10,0.999,0.8,5,50000,100000,10
