,Testcase,Security,Redundancy,Method,# ES,# Switches,# Streams,# Receiver Tasks,# Tasks,Total cost,Routing cost,Scheduling cost,Normal application latency,Infeasible Apps,"Bandwidth use (Mean,%)","CPU use (Mean,%)",Optimization Time (ms),First feasible solution time (ms),Total Runtime (ms),Infeasible apps,Overlapping number,Stream with overlap,Tstart,alpha,Prmv,k,a,b,w
0,batch00,False,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,12,18,24,4515,31,4484,4484,,0.0610246913580247,1.367125,71,0,97,0/9,0,0,10,0.999,0.8,5,50000,10000,10
0,batch01,False,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,12,19,24,4427,35,4392,4392,,0.11342592592592592,1.3032916666666667,79,0,105,0/8,0,0,10,0.999,0.8,5,50000,10000,10
0,batch02,False,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,17,21,24,4075,40,4035,4035,,0.11015740740740745,1.3025416666666667,87,0,115,0/7,0,0,10,0.999,0.8,5,50000,10000,10
0,batch03,False,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,18,28,24,4427,49,4378,4378,,0.08562037037037035,1.7091250000000002,76,0,100,0/4,0,0,10,0.999,0.8,5,50000,10000,10
0,batch04,False,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,12,23,24,4280,39,4241,4241,,0.11039351851851853,1.6321249999999998,84,0,112,0/8,0,0,10,0.999,0.8,5,50000,10000,10
0,batch05,False,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,22,36,24,3180,60,3120,3120,,0.1480586419753086,1.0586666666666666,120,0,146,0/4,0,0,10,0.999,0.8,5,50000,10000,10
0,batch06,False,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,18,29,24,4435,54,4381,4381,,0.10659259259259259,1.4350208333333332,113,0,142,0/8,0,0,10,0.999,0.8,5,50000,10000,10
0,batch07,False,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,14,22,24,3449,39,3410,3410,,0.12697530864197532,1.792291666666667,59,0,83,0/6,0,0,10,0.999,0.8,5,50000,10000,10
0,batch08,False,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,11,22,24,3179,35,3144,3144,,0.1112422839506173,1.674729166666667,78,0,106,0/6,0,0,10,0.999,0.8,5,50000,10000,10
0,batch09,False,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,21,35,24,2640,62,2578,2578,,0.21057870370370366,1.4821874999999998,99,0,124,0/5,0,0,10,0.999,0.8,5,50000,10000,10
0,batch010,False,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,23,37,24,2578,66,2512,2512,,0.17304320987654317,1.3205833333333334,125,0,151,0/4,0,0,10,0.999,0.8,5,50000,10000,10
0,batch011,False,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,12,15,24,4939,29,4910,4910,,0.08150462962962962,1.2798333333333334,69,0,96,0/11,0,0,10,0.999,0.8,5,50000,10000,10
0,batch012,False,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,19,32,24,4811,50,4761,4761,,0.0997685185185185,1.6133750000000002,76,0,101,0/5,0,0,10,0.999,0.8,5,50000,10000,10
0,batch013,False,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,17,28,24,4556,47,4509,4509,,0.10658333333333331,1.4721875,85,0,112,0/5,0,0,10,0.999,0.8,5,50000,10000,10
