,Testcase,Security,Redundancy,Method,# ES,# Switches,# Streams,# Receiver Tasks,# Tasks,Total cost,Routing cost,Scheduling cost,Normal application latency,Infeasible Apps,"Bandwidth use (Mean,%)","CPU use (Mean,%)",Optimization Time (ms),First feasible solution time (ms),Total Runtime (ms),Infeasible apps,Overlapping number,Stream with overlap,Tstart,alpha,Prmv,k,a,b,w
0,batch20,False,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,14,22,24,18332,38,18294,18294,,0.021978395061728394,7.1083750000000006,66,0,93,0/5,0,0,10,0.999,0.8,5,50000,10000,10
0,batch21,False,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,18,31,24,9471,54,9417,9417,,0.022768518518518504,6.622000000000002,75,0,101,0/4,0,0,10,0.999,0.8,5,50000,10000,10
0,batch22,False,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,18,31,24,14636,56,14580,14580,,0.03316358024691359,8.1778125,85,0,111,0/7,0,0,10,0.999,0.8,5,50000,10000,10
0,batch23,False,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,16,27,24,26554,49,26505,16505,app30,0.02470987654320988,8.239,79,0,107,1/5,0,0,10,0.999,0.8,5,50000,10000,10
0,batch24,False,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,15,20,24,16730,37,16693,16693,,0.012845679012345679,6.354958333333334,84,0,112,0/10,0,0,10,0.999,0.8,5,50000,10000,10
0,batch25,False,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,17,27,24,15226,44,15182,15182,,0.011913580246913582,7.984041666666666,96,0,123,0/6,0,0,10,0.999,0.8,5,50000,10000,10
0,batch26,False,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,21,27,24,23479,51,23428,23428,,0.012524691358024687,8.608333333333334,94,0,122,0/5,0,0,10,0.999,0.8,5,50000,10000,10
0,batch27,False,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,19,37,24,21267,64,21203,21203,,0.02555092592592592,7.663250000000001,91,0,119,0/4,0,0,10,0.999,0.8,5,50000,10000,10
0,batch28,False,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,23,34,24,30135,60,30075,20075,app20,0.007074074074074074,7.229833333333335,106,0,132,1/6,0,0,10,0.999,0.8,5,50000,10000,10
0,batch29,False,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,19,32,24,24285,57,24228,24228,,0.02100617283950618,7.262312500000001,122,0,150,0/8,0,0,10,0.999,0.8,5,50000,10000,10
