,Testcase,Security,Redundancy,Method,# ES,# Switches,# Streams,# Receiver Tasks,# Tasks,Total cost,Routing cost,Scheduling cost,Normal application latency,Infeasible Apps,"Bandwidth use (Mean,%)","CPU use (Mean,%)",Optimization Time (ms),First feasible solution time (ms),Total Runtime (ms),Infeasible apps,Overlapping number,Stream with overlap,Tstart,alpha,Prmv,k,a,b,w
0,batch10,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,15,20,29,35785,36,35749,35707,,0.05046296296296297,7.07375,80,0,104,0/10,0,0,10,0.999,0.8,5,50000,10000,10
0,batch11,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,24,49,33,17619,79,17540,17467,,0.1336728395061729,7.165520833333335,205,0,232,0/9,0,0,10,0.999,0.8,5,50000,10000,10
0,batch12,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,12,18,26,16011,30,15981,15960,,0.09643518518518517,7.045416666666666,62,0,87,0/10,0,0,10,0.999,0.8,5,50000,10000,10
0,batch13,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,26,57,38,29679,97,29582,29455,,0.0878148148148148,5.121625,550,0,584,0/10,0,0,10,0.999,0.8,5,50000,10000,10
0,batch14,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,21,28,33,29092,53,29039,18945,app23,0.07132716049382709,6.158333333333333,175,0,209,1/12,0,0,10,0.999,0.8,5,50000,10000,10
0,batch15,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,18,35,33,59516,58,59458,59395,,0.03837037037037035,7.69025,124,0,151,0/9,0,0,10,0.999,0.8,5,50000,10000,10
0,batch16,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,23,32,31,19527,58,19469,19396,,0.1259876543209877,7.623854166666668,132,0,159,0/9,0,0,10,0.999,0.8,5,50000,10000,10
0,batch17,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,21,38,32,35864,64,35800,35727,,0.09655864197530867,6.75775,280,0,314,0/9,0,0,10,0.999,0.8,5,50000,10000,10
0,batch18,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,21,27,34,23387,49,23338,23234,,0.05459259259259258,6.369625000000001,146,0,175,0/10,0,0,10,0.999,0.8,5,50000,10000,10
0,batch19,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,20,27,28,24532,50,24482,24440,,0.0976697530864198,9.041458333333335,145,0,175,0/8,0,0,10,0.999,0.8,5,50000,10000,10
0,batch110,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,21,30,32,32464,51,32413,32350,,0.08542129629629631,8.078,161,0,189,0/8,0,0,10,0.999,0.8,5,50000,10000,10
0,batch111,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,23,42,36,50053,73,49980,39876,app30,0.048666666666666684,9.297125,177,0,205,1/8,0,0,10,0.999,0.8,5,50000,10000,10
0,batch112,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,16,20,30,26346,36,26310,26247,,0.07632716049382716,7.041291666666666,138,0,169,0/10,0,0,10,0.999,0.8,5,50000,10000,10
0,batch113,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,40,35,49229,74,49155,49050,,0.03952777777777777,6.032270833333333,222,0,255,0/11,0,0,10,0.999,0.8,5,50000,10000,10
0,batch114,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,17,27,30,30692,48,30644,20599,app11,0.1009876543209876,8.43475,98,0,125,1/7,0,0,10,0.999,0.8,5,50000,10000,10
0,batch115,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,26,37,31,17333,70,17263,17187,,0.15834876543209875,7.907708333333333,210,0,239,0/11,0,0,10,0.999,0.8,5,50000,10000,10
0,batch116,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,13,22,26,17209,37,17172,17151,,0.09476851851851852,6.253020833333334,59,0,82,0/6,0,0,10,0.999,0.8,5,50000,10000,10
0,batch117,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,16,30,27,57858,46,57812,57791,,0.05915740740740741,8.419458333333335,111,0,138,0/7,0,0,10,0.999,0.8,5,50000,10000,10
0,batch118,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,22,34,31,31066,65,31001,30928,,0.10045061728395056,7.040583333333333,294,0,328,0/12,0,0,10,0.999,0.8,5,50000,10000,10
0,batch119,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,27,30,30,18734,58,18676,18603,,0.15578703703703706,7.3134375,109,0,135,0/8,0,0,10,0.999,0.8,5,50000,10000,10
0,batch120,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,23,29,30,20881,54,20827,20754,,0.08848148148148147,5.279583333333333,301,0,331,0/8,0,0,10,0.999,0.8,5,50000,10000,10
0,batch121,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,29,51,36,20830,86,20744,20640,,0.20226080246913583,7.292500000000002,457,0,498,0/9,0,0,10,0.999,0.8,5,50000,10000,10
