,Testcase,Security,Redundancy,Method,# ES,# Switches,# Streams,# Receiver Tasks,# Tasks,Total cost,Routing cost,Scheduling cost,Normal application latency,Infeasible Apps,"Bandwidth use (Mean,%)","CPU use (Mean,%)",Optimization Time (ms),First feasible solution time (ms),Total Runtime (ms),Infeasible apps,Overlapping number,Stream with overlap,Tstart,alpha,Prmv,k,a,b,w
0,batch30,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,15,21,28,13738,33,13705,13653,,0.011089506172839506,1.5103333333333335,138,0,168,0/9,0,0,10,0.999,0.8,5,50000,10000,10
0,batch31,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,21,43,31,7968,71,7897,7855,,0.03840740740740742,1.7455208333333334,363,0,401,0/10,0,0,10,0.999,0.8,5,50000,10000,10
0,batch32,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,15,33,30,7991,50,7941,7899,,0.014560185185185183,1.5229166666666663,101,0,127,0/10,0,0,10,0.999,0.8,5,50000,10000,10
0,batch33,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,21,33,32,8732,54,8678,8585,,0.016009259259259258,1.7832708333333336,208,0,241,0/8,0,0,10,0.999,0.8,5,50000,10000,10
0,batch34,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,19,34,32,17266,61,17205,17153,,0.025393518518518537,1.7163541666666664,119,0,148,0/7,0,0,10,0.999,0.8,5,50000,10000,10
0,batch35,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,22,24,30,17148,46,17102,17029,,0.011944444444444442,1.598375,192,0,223,0/15,0,0,10,0.999,0.8,5,50000,10000,10
0,batch36,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,16,23,26,7648,40,7608,7587,,0.01369598765432099,1.4925000000000002,80,0,107,0/8,0,0,10,0.999,0.8,5,50000,10000,10
0,batch37,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,25,41,37,13182,70,13112,12987,,0.025794753086419757,1.83875,192,0,220,0/12,0,0,10,0.999,0.8,5,50000,10000,10
0,batch38,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,21,29,27,7118,52,7066,7045,,0.025330246913580243,1.5269166666666667,179,0,211,0/6,0,0,10,0.999,0.8,5,50000,10000,10
0,batch39,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,49,34,16668,87,16581,16487,,0.028572530864197518,1.4678125000000004,265,0,294,0/11,0,0,10,0.999,0.8,5,50000,10000,10
0,batch310,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,26,32,30,10100,61,10039,9976,,0.030817901234567905,1.6999791666666664,274,0,311,0/10,0,0,10,0.999,0.8,5,50000,10000,10
0,batch311,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,32,38,33,19541,74,19467,19357,,0.015092592592592598,1.663875,303,0,338,0/9,0,0,10,0.999,0.8,5,50000,10000,10
0,batch312,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,14,25,31,8785,41,8744,8692,,0.017013888888888884,1.8781875,111,0,137,0/8,0,0,10,0.999,0.8,5,50000,10000,10
0,batch313,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,31,44,35,9729,79,9650,9525,,0.030907407407407415,1.6664999999999999,335,0,369,0/9,0,0,10,0.999,0.8,5,50000,10000,10
0,batch314,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,17,41,32,13349,61,13288,13236,,0.019967592592592606,1.8078125,302,0,336,0/9,0,0,10,0.999,0.8,5,50000,10000,10
0,batch315,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,15,22,28,8026,39,7987,7945,,0.016805555555555553,1.4558749999999998,110,0,138,0/11,0,0,10,0.999,0.8,5,50000,10000,10
0,batch316,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,26,50,36,18793,87,18706,18619,,0.028240740740740733,1.8230000000000004,392,0,423,0/10,0,0,10,0.999,0.8,5,50000,10000,10
0,batch317,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,26,45,34,10355,73,10282,10165,,0.030098765432098752,1.7922291666666665,415,0,455,0/9,0,0,10,0.999,0.8,5,50000,10000,10
0,batch318,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,29,37,36,27551,68,27483,27368,,0.022839506172839506,1.8737500000000005,198,0,227,0/13,0,0,10,0.999,0.8,5,50000,10000,10
0,batch319,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,13,25,27,9464,40,9424,9403,,0.017847222222222226,1.8345833333333332,84,0,108,0/9,0,0,10,0.999,0.8,5,50000,10000,10
0,batch320,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,50,35,22434,92,22342,22239,,0.022518518518518535,2.0635625,344,0,375,0/9,0,0,10,0.999,0.8,5,50000,10000,10
0,batch321,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,11,14,24,5954,27,5927,5927,,0.013040123456790127,1.7558125,54,0,81,0/9,0,0,10,0.999,0.8,5,50000,10000,10
0,batch322,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,23,46,36,12155,70,12085,11981,,0.03852160493827161,2.1226458333333333,499,0,543,0/11,0,0,10,0.999,0.8,5,50000,10000,10
0,batch323,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,33,48,36,11331,82,11249,11114,,0.05027777777777775,1.7233333333333334,230,0,259,0/11,0,0,10,0.999,0.8,5,50000,10000,10
0,batch324,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,21,29,28,15546,53,15493,15451,,0.013611111111111112,1.5763125,149,0,180,0/10,0,0,10,0.999,0.8,5,50000,10000,10
