,Testcase,Security,Redundancy,Method,# ES,# Switches,# Streams,# Receiver Tasks,# Tasks,Total cost,Routing cost,Scheduling cost,Normal application latency,Infeasible Apps,"Bandwidth use (Mean,%)","CPU use (Mean,%)",Optimization Time (ms),First feasible solution time (ms),Total Runtime (ms),Infeasible apps,Overlapping number,Stream with overlap,Tstart,alpha,Prmv,k,a,b,w
0,batch00,False,False,SA_ROUTING_SA_SCHEDULING_COMB,16,8,12,18,24,4515,31,4484,4484,,0.0610246913580247,1.367125,71,0,96,0/9,0,0,10,0.999,0.8,5,50000,10000,10
0,batch01,False,False,SA_ROUTING_SA_SCHEDULING_COMB,16,8,12,19,24,4427,35,4392,4392,,0.11342592592592592,1.3032916666666667,80,0,107,0/8,0,0,10,0.999,0.8,5,50000,10000,10
0,batch02,False,False,SA_ROUTING_SA_SCHEDULING_COMB,16,8,13,16,24,4066,31,4035,4035,,0.10048148148148149,1.3025416666666667,71,0,98,0/7,0,0,10,0.999,0.8,5,50000,10000,10
0,batch03,False,False,SA_ROUTING_SA_SCHEDULING_COMB,16,8,16,26,24,4423,45,4378,4378,,0.08474999999999996,1.7091250000000002,67,0,92,0/4,0,0,10,0.999,0.8,5,50000,10000,10
0,batch04,False,False,SA_ROUTING_SA_SCHEDULING_COMB,16,8,10,20,24,4275,34,4241,4241,,0.09381944444444444,1.6321249999999998,74,0,99,0/8,0,0,10,0.999,0.8,5,50000,10000,10
0,batch05,False,False,SA_ROUTING_SA_SCHEDULING_COMB,16,8,15,24,24,3158,38,3120,3120,,0.08976234567901235,1.0586666666666666,79,0,104,0/4,0,0,10,0.999,0.8,5,50000,10000,10
0,batch06,False,False,SA_ROUTING_SA_SCHEDULING_COMB,16,8,13,21,24,4421,40,4381,4381,,0.08812962962962964,1.4350208333333332,86,0,114,0/8,0,0,10,0.999,0.8,5,50000,10000,10
0,batch07,False,False,SA_ROUTING_SA_SCHEDULING_COMB,16,8,13,20,24,3446,36,3410,3410,,0.11780864197530866,1.792291666666667,54,0,78,0/6,0,0,10,0.999,0.8,5,50000,10000,10
0,batch08,False,False,SA_ROUTING_SA_SCHEDULING_COMB,16,8,9,20,24,3175,31,3144,3144,,0.09272376543209879,1.674729166666667,70,0,97,0/6,0,0,10,0.999,0.8,5,50000,10000,10
0,batch09,False,False,SA_ROUTING_SA_SCHEDULING_COMB,16,8,14,24,24,2466,42,2424,2424,,0.15104166666666669,1.4821874999999998,57,0,82,0/5,0,0,10,0.999,0.8,5,50000,10000,10
0,batch010,False,False,SA_ROUTING_SA_SCHEDULING_COMB,16,8,14,24,24,2379,42,2337,2337,,0.12001234567901231,1.3205833333333334,69,0,95,0/4,0,0,10,0.999,0.8,5,50000,10000,10
0,batch011,False,False,SA_ROUTING_SA_SCHEDULING_COMB,16,8,10,13,24,4935,25,4910,4910,,0.07687499999999999,1.2798333333333334,62,0,88,0/11,0,0,10,0.999,0.8,5,50000,10000,10
0,batch012,False,False,SA_ROUTING_SA_SCHEDULING_COMB,16,8,14,23,24,4722,37,4685,4685,,0.09441666666666668,1.6133750000000002,58,0,81,0/5,0,0,10,0.999,0.8,5,50000,10000,10
0,batch013,False,False,SA_ROUTING_SA_SCHEDULING_COMB,16,8,15,24,24,4550,41,4509,4509,,0.09491666666666664,1.4721875,73,0,99,0/5,0,0,10,0.999,0.8,5,50000,10000,10
0,batch014,False,False,SA_ROUTING_SA_SCHEDULING_COMB,16,8,13,23,24,3731,39,3692,3692,,0.11405555555555555,1.4168333333333332,78,0,104,0/5,0,0,10,0.999,0.8,5,50000,10000,10
0,batch015,False,False,SA_ROUTING_SA_SCHEDULING_COMB,16,8,13,16,24,4732,30,4702,4702,,0.06040277777777778,1.2523125,67,0,93,0/7,0,0,10,0.999,0.8,5,50000,10000,10
0,batch016,False,False,SA_ROUTING_SA_SCHEDULING_COMB,16,8,14,22,24,2809,40,2769,2769,,0.1625925925925926,1.2918749999999999,59,0,85,0/7,0,0,10,0.999,0.8,5,50000,10000,10
0,batch017,False,False,SA_ROUTING_SA_SCHEDULING_COMB,16,8,10,14,24,3884,24,3860,3860,,0.044515432098765434,1.4561666666666668,66,0,90,0/11,0,0,10,0.999,0.8,5,50000,10000,10
0,batch018,False,False,SA_ROUTING_SA_SCHEDULING_COMB,16,8,12,19,24,2629,35,2594,2594,,0.06466049382716049,1.2658333333333334,55,0,79,0/5,0,0,10,0.999,0.8,5,50000,10000,10
0,batch019,False,False,SA_ROUTING_SA_SCHEDULING_COMB,16,8,12,17,24,2990,29,2961,2961,,0.0632530864197531,0.9889583333333334,71,0,98,0/11,0,0,10,0.999,0.8,5,50000,10000,10
0,batch020,False,False,SA_ROUTING_SA_SCHEDULING_COMB,16,8,10,20,24,7067,33,7034,7034,,0.09097222222222223,1.5692291666666667,73,0,99,0/6,0,0,10,0.999,0.8,5,50000,10000,10
0,batch021,False,False,SA_ROUTING_SA_SCHEDULING_COMB,16,8,12,18,24,3270,33,3237,3237,,0.09961419753086422,1.8472291666666671,73,0,100,0/8,0,0,10,0.999,0.8,5,50000,10000,10
0,batch022,False,False,SA_ROUTING_SA_SCHEDULING_COMB,16,8,11,20,24,3391,35,3356,3356,,0.07515277777777778,1.4255833333333334,85,0,112,0/6,0,0,10,0.999,0.8,5,50000,10000,10
0,batch023,False,False,SA_ROUTING_SA_SCHEDULING_COMB,16,8,11,22,24,2837,33,2804,2804,,0.08577160493827159,1.5969791666666666,55,0,79,0/5,0,0,10,0.999,0.8,5,50000,10000,10
0,batch024,False,False,SA_ROUTING_SA_SCHEDULING_COMB,16,8,13,23,24,3254,37,3217,3217,,0.1062932098765432,1.5275416666666668,66,0,91,0/7,0,0,10,0.999,0.8,5,50000,10000,10
