,Testcase,Security,Redundancy,Method,# ES,# Switches,# Streams,# Receiver Tasks,# Tasks,Total cost,Routing cost,Scheduling cost,Normal application latency,Infeasible Apps,"Bandwidth use (Mean,%)","CPU use (Mean,%)",Optimization Time (ms),First feasible solution time (ms),Total Runtime (ms),Infeasible apps,Overlapping number,Stream with overlap,Tstart,alpha,Prmv,k,a,b,w
0,TC2_zhao_case_study,True,True,SA_ROUTING_SA_SCHEDULING_COMB,6,2,29,31,28,6114,30,6084,5930,,1.465,19.302083333333332,580074,0,580097,0/5,0,0,1,0.99,0.1,10,50000,10000,1000
0,TC2_zhao_case_study,True,True,SA_ROUTING_SA_SCHEDULING_COMB,6,2,29,31,28,6114,30,6084,5930,,1.465,19.302083333333332,580094,0,580117,0/5,0,0,10000,0.999999,0.1,5,50000,10000,5
0,TC2_zhao_case_study,True,True,SA_ROUTING_SA_SCHEDULING_COMB,6,2,29,31,28,6114,30,6084,5930,,1.465,19.302083333333332,580064,0,580087,0/5,0,0,1,0.99,0.1,10,50000,10000,1000
0,TC2_zhao_case_study,True,True,SA_ROUTING_SA_SCHEDULING_COMB,6,2,29,31,28,6114,30,6084,5930,,1.465,19.302083333333332,580051,0,580076,0/5,0,0,1,0.99,0.1,10,50000,10000,10
0,TC2_zhao_case_study,True,True,SA_ROUTING_SA_SCHEDULING_COMB,6,2,29,31,28,6114,30,6084,5930,,1.465,19.302083333333332,580017,0,580038,0/5,0,0,1,0.99,0.1,10,50000,10000,10
0,TC2_zhao_case_study,True,True,SA_ROUTING_SA_SCHEDULING_COMB,6,2,29,31,28,6114,30,6084,5930,,1.465,19.302083333333332,580033,0,580059,0/5,0,0,1,0.99,0.1,10,50000,10000,10
0,TC2_zhao_case_study,True,True,SA_ROUTING_SA_SCHEDULING_COMB,6,2,29,31,28,6114,30,6084,5930,,1.465,19.302083333333332,580049,0,580072,0/5,0,0,1,0.99,0.1,10,50000,10000,10
0,TC2_zhao_case_study,True,True,SA_ROUTING_SA_SCHEDULING_COMB,6,2,29,31,28,6114,30,6084,5930,,1.465,19.302083333333332,580014,0,580039,0/5,0,0,1,0.99,0.1,10,50000,10000,10
0,TC2_zhao_case_study,True,True,SA_ROUTING_SA_SCHEDULING_COMB,6,2,29,31,28,6114,30,6084,5930,,1.465,19.302083333333332,580094,0,580117,0/5,0,0,10000,0.999999,0.1,5,50000,10000,5
0,TC2_zhao_case_study,True,True,SA_ROUTING_SA_SCHEDULING_COMB,6,2,29,31,28,6114,30,6084,5930,,1.4650000000000003,19.302083333333332,580047,0,580074,0/5,0,0,1,0.99,0.1,10,50000,10000,10
0,TC2_zhao_case_study,True,True,SA_ROUTING_SA_SCHEDULING_COMB,6,2,29,31,28,6114,30,6084,5930,,1.4649999999999999,19.302083333333332,580059,0,580083,0/5,0,0,1,0.99,0.1,10,50000,10000,10
