,Testcase,Security,Redundancy,Method,# ES,# Switches,# Streams,# Receiver Tasks,# Tasks,Total cost,Routing cost,Scheduling cost,Normal application latency,Infeasible Apps,"Bandwidth use (Mean,%)","CPU use (Mean,%)",Optimization Time (ms),First feasible solution time (ms),Total Runtime (ms),Infeasible apps,Overlapping number,Stream with overlap,Tstart,alpha,Prmv,k,a,b
0,small3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,29,48,35,14312,77,14235,14147,,0.03,7.71,580623,0,580647,0/12,0,0,100000000,0.999999,0.1,5,50000,10000
0,small3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,29,48,35,13825,77,13748,13660,,0.03,7.71,580327,0,580347,0/12,0,0,1,0.999,0.5,30,50000,10000
0,small3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,29,48,35,13852,81,13771,13683,,0.03,7.71,580592,0,580614,0/12,0,0,1,0.9999,0.7,20,50000,10000
0,small3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,29,48,35,19740,74,19666,19578,,0.03,7.71,580409,0,580431,0/12,0,0,100000000,0.999999,0.6,30,50000,10000
0,small3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,29,48,35,13902,85,13817,13725,,0.03,7.71,580397,0,580420,0/12,0,0,1000,0.99999,0.1,15,50000,10000
0,small3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,29,48,35,13845,95,13750,13662,,0.03,7.71,580622,0,580645,0/12,0,0,10,0.9999,0.4,15,50000,10000
0,small3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,29,48,35,14684,74,14610,14522,,0.03,7.71,580493,0,580518,0/12,0,0,100000,0.999,0.1,5,50000,10000
0,small3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,29,48,35,17553,74,17479,17391,,0.03,7.71,580343,0,580367,0/12,0,0,100000,0.9999,0.2,20,50000,10000
0,small3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,29,48,35,13886,75,13811,13723,,0.03,7.71,580339,0,580364,0/12,0,0,100000,0.999,0.2,15,50000,10000
0,small3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,29,48,35,13851,79,13772,13684,,0.03,7.71,580465,0,580491,0/12,0,0,10,0.99,0.2,15,50000,10000
0,small3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,29,48,35,13889,78,13811,13723,,0.03,7.71,580403,0,580430,0/12,0,0,10,0.99,0.5,15,50000,10000
0,small3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,29,48,35,14372,75,14297,14209,,0.03,7.71,580561,0,580585,0/12,0,0,100000000,0.999999,0.1,5,50000,10000
0,small3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,29,48,35,13826,78,13748,13660,,0.03,7.71,580384,0,580409,0/12,0,0,10,0.99,0.5,15,50000,10000
0,small3,True,True,CP_ROUTING_CP_SCHEDULING,8,4,29,48,35,23923,74,23849,23126,,0.03,7.71,3617840,0,3617867,0/12,0,0,10,0.999,0.8,5,50000,10000
0,small3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,29,48,35,14847,77,14770,14680,,0.03,7.71,580532,0,580557,0/12,0,0,1000000,0.99,0.5,15,50000,10000
0,small3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,29,48,35,14789,102,14687,14593,,0.03,7.71,580520,0,580546,0/12,0,0,1000000,0.99,0.5,15,50000,10000
0,small3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,29,48,35,14184,75,14109,14021,,0.03,7.71,580365,0,580387,0/12,0,0,100000000,0.999999,0.1,5,50000,10000
0,small3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,29,48,35,15210,82,15128,15040,,0.03,7.71,580669,0,580690,0/12,0,0,1000000,0.99,0.5,15,50000,10000
0,small3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,29,48,35,19740,74,19666,19578,,0.03,7.71,580622,0,580642,0/12,0,0,1000000,0.999999,0.5,15,50000,10000
0,small3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,29,48,35,15631,79,15552,15458,,0.03,7.71,580292,0,580313,0/12,0,0,1000000,0.999999,0.5,15,50000,10000
0,small3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,29,48,35,18019,74,17945,17857,,0.03,7.71,580284,0,580307,0/12,0,0,1000000,0.999999,0.5,15,50000,10000
0,small3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,29,48,35,15617,74,15543,15455,,0.03,7.71,580280,0,580305,0/12,0,0,100000000,0.999999,0.1,5,50000,10000
0,small3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,29,48,35,19740,74,19666,19578,,0.03,7.71,580319,0,580343,0/12,0,0,1000000,0.999999,0.5,15,50000,10000
0,small3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,29,48,35,19740,74,19666,19578,,0.03,7.71,580411,0,580437,0/12,0,0,1000000,0.999999,0.3,15,50000,10000
0,small3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,29,48,35,16573,77,16496,16408,,0.03,7.71,580685,0,580705,0/12,0,0,1000000,0.999999,0.3,15,50000,10000
